year;fcode;employ;sales;avgsal;scrap;rework;tothrs;union;grant;d89;d88;totrain;hrsemp;lscrap;lemploy;lsales;lrework;lhrsemp;lscrap_1;grant_1;clscrap;cgrant;clemploy;clsales;lavgsal;clavgsal;cgrant_1;chrsemp;clhrsemp
1987;410523;70;8000000;19760;0,05999999865889549;NA;40;0;0;0;0;35;20,0000000000000000;-2,8134107589721680;4,24849510192871;15,8949518203735;NA;3,0445225238800049;NA;0;NA;0;NA;NA;9,89141464233398;NA;NA;NA;NA
1988;410523;85;11000000;22360;0,05000000074505806;NA;40;0;0;0;1;40;18,8235301971435547;-2,9957323074340820;4,44265127182007;16,2134056091309;NA;2,9868695735931396;-2,8134107589721680;0;-0,1823215484619141;0;0,19415616989135742;0,31845378875732422;10,01502895355225;0,12361431121826172;0;-1,17646980285644531;-0,05765295028686523
1989;410523;98;15000000;23920;0,05000000074505806;NA;60;0;0;1;0;40;24,4897956848144531;-2,9957323074340820;4,58496761322021;16,5235614776611;NA;3,2382781505584717;-2,9957323074340820;0;0,0000000000000000;0;0,14231634140014648;0,31015586853027344;10,08246994018555;0,06744098663330078;0;5,66626548767089844;0,25140857696533203
1987;410529;45;1535242;20000;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;3,80666255950928;14,2441987991333;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,90348720550537;NA;NA;NA;NA
1988;410529;47;3209188;22000;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;3,85014748573303;14,9815282821655;NA;0,0000000000000000;NA;0;NA;0;0,04348492622375488;0,73732948303222656;9,99879741668701;0,09531021118164062;0;0,00000000000000000;0,00000000000000000
1989;410529;51;4030352;23650;NA;NA;2;0;0;1;0;2;0,0784313753247261;NA;3,93182563781738;15,2093639373779;NA;0,0755075514316559;NA;0;NA;0;0,08167815208435059;0,22783565521240234;10,07111835479736;0,07232093811035156;0;0,07843137532472610;0,07550755143165588
1987;410531;200;10000000;17500;NA;5,00000000000000000;0;1;0;0;0;0;0,0000000000000000;NA;5,29831743240356;16,1180953979492;1,6094379425048828;0,0000000000000000;NA;0;NA;0;NA;NA;9,76995658874512;NA;NA;NA;NA
1988;410531;200;10000000;18700;NA;4,00000000000000000;20;1;0;0;1;6;0,6000000238418579;NA;5,29831743240356;16,1180953979492;1,3862943649291992;0,4700036346912384;NA;0;NA;0;0,00000000000000000;0,00000000000000000;9,83627891540527;0,06632232666015625;0;0,60000002384185791;0,47000363469123840
1989;410531;190;9000000;18300;NA;2,22000002861022949;20;1;0;1;0;10;1,0526316165924072;NA;5,24702405929565;16,0127353668213;0,7975072264671326;0,7191227078437805;NA;0;NA;0;-0,05129337310791016;-0,10536003112792969;9,81465625762939;-0,02162265777587891;0;0,45263159275054932;0,24911907315254211
1987;410533;14;1600000;11500;NA;NA;68;0;0;0;0;3;14,5714282989501953;NA;2,63905739784241;14,2855138778687;NA;2,7454376220703125;NA;0;NA;0;NA;NA;9,35010242462158;NA;NA;NA;NA
1988;410533;12;900000;13000;NA;NA;75;0;0;0;1;5;31,2500000000000000;NA;2,48490667343140;13,7101497650146;NA;3,4735181331634521;NA;0;NA;0;-0,15415072441101074;-0,57536411285400391;9,47270488739014;0,12260246276855469;0;16,67857170104980469;0,72808051109313965
1989;410533;16;1300000;14700;NA;NA;35;0;0;1;0;9;19,6875000000000000;NA;2,77258872985840;14,0778751373291;NA;3,0295295715332031;NA;0;NA;0;0,28768205642700195;0,36772537231445312;9,59560298919678;0,12289810180664062;0;-11,56250000000000000;-0,44398856163024902
1987;410535;10;420664;4237;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;2,30258512496948;12,9495897293091;NA;0,0000000000000000;NA;0;NA;0;NA;NA;8,35161113739014;NA;NA;NA;NA
1988;410535;11;544602;7484;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;2,39789533615112;13,2078104019165;NA;0,0000000000000000;NA;0;NA;0;0,09531021118164062;0,25822067260742188;8,92052268981934;0,56891155242919922;0;0,00000000000000000;0,00000000000000000
1989;410535;9;495331;9548;NA;NA;0;0;0;1;0;0;0,0000000000000000;NA;2,19722461700439;13,1129817962646;NA;0,0000000000000000;NA;0;NA;0;-0,20067071914672852;-0,09482860565185547;9,16408729553223;0,24356460571289062;0;0,00000000000000000;0,00000000000000000
1987;410536;15;1502502;11742;NA;NA;12;0;0;0;0;2;1,6000000238418579;NA;2,70805025100708;14,2226419448853;NA;0,9555114507675171;NA;0;NA;0;NA;NA;9,37092781066895;NA;NA;NA;NA
1988;410536;16;1840912;12740;NA;NA;12;0;0;0;1;2;1,5000000000000000;NA;2,77258872985840;14,4257717132568;NA;0,9162907600402832;NA;0;NA;0;0,06453847885131836;0,20312976837158203;9,45250225067139;0,08157444000244141;0;-0,10000002384185791;-0,03922069072723389
1989;410536;18;2273869;13700;NA;NA;8;0;0;1;0;3;1,3333333730697632;NA;2,89037179946899;14,6369934082031;NA;0,8472979068756104;NA;0;NA;0;0,11778306961059570;0,21122169494628906;9,52515125274658;0,07264900207519531;0;-0,16666662693023682;-0,06899285316467285
1987;410538;NA;NA;19760;2,64000010490417480;NA;0;1;0;0;0;0;NA;0,9707789421081543;NA;NA;NA;NA;NA;0;NA;0;NA;NA;9,89141464233398;NA;NA;NA;NA
1988;410538;NA;6276271;20800;2,74000000953674316;NA;0;1;0;0;1;0;NA;1,0079579353332520;NA;15,6522865295410;NA;NA;0,9707789421081543;0;0,0371789932250977;0;NA;NA;9,94270801544189;0,05129337310791016;0;NA;NA
1989;410538;60;5286605;20800;2,53999996185302734;NA;30;1;0;1;0;50;25,0000000000000000;0,9321640729904175;4,09434461593628;15,4806871414185;NA;3,2580964565277100;1,0079579353332520;0;-0,0757938623428345;0;NA;-0,17159938812255859;9,94270801544189;0,00000000000000000;0;NA;NA
1987;410540;50;5200000;20000;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;3,91202306747437;15,4641695022583;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,90348720550537;NA;NA;NA;NA
1988;410540;50;6500000;23000;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;3,91202306747437;15,6873130798340;NA;0,0000000000000000;NA;0;NA;0;0,00000000000000000;0,22314357757568359;10,04324913024902;0,13976192474365234;0;0,00000000000000000;0,00000000000000000
1989;410540;55;5600000;25000;NA;NA;0;0;0;1;0;0;0,0000000000000000;NA;4,00733327865601;15,5382776260376;NA;0,0000000000000000;NA;0;NA;0;0,09531021118164062;-0,14903545379638672;10,12663078308105;0,08338165283203125;0;0,00000000000000000;0,00000000000000000
1987;410544;30;NA;19760;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;3,40119743347168;NA;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,89141464233398;NA;NA;NA;NA
1988;410544;32;NA;20280;NA;NA;10;0;0;0;1;4;1,2500000000000000;NA;3,46573591232300;NA;NA;0,8109301924705505;NA;0;NA;0;0,06453847885131836;NA;9,91739082336426;0,02597618103027344;0;1,25000000000000000;0,81093019247055054
1989;410544;34;NA;20800;NA;NA;10;0;0;1;0;6;1,7647058963775635;NA;3,52636051177979;NA;NA;1,0169342756271362;NA;0;NA;0;0,06062459945678711;NA;9,94270801544189;0,02531719207763672;0;0,51470589637756348;0,20600408315658569
1987;410546;153;10000000;12500;NA;NA;8;0;0;0;0;7;0,3660130798816681;NA;5,03043794631958;16,1180953979492;NA;0,3118963241577148;NA;0;NA;0;NA;NA;9,43348407745361;NA;NA;NA;NA
1988;410546;134;11000000;13000;NA;NA;8;0;0;0;1;6;0,3582089543342590;NA;4,89784002304077;16,2134056091309;NA;0,3061668872833252;NA;0;NA;0;-0,13259792327880859;0,09531021118164062;9,47270488739014;0,03922080993652344;0;-0,00780412554740906;-0,00572943687438965
1989;410546;146;12000000;13500;NA;NA;40;0;0;1;0;28;7,6712327003479004;NA;4,98360681533813;16,3004169464111;NA;2,1600110530853271;NA;0;NA;0;0,08576679229736328;0,08701133728027344;9,51044464111328;0,03773975372314453;0;7,31302356719970703;1,85384416580200195
1987;410547;20;2300000;20000;NA;10,00000000000000000;0;0;0;0;0;0;0,0000000000000000;NA;2,99573230743408;14,6484193801880;2,3025851249694824;0,0000000000000000;NA;0;NA;0;NA;NA;9,90348720550537;NA;NA;NA;NA
1988;410547;23;2500000;23000;NA;10,00000000000000000;0;0;0;0;1;0;0,0000000000000000;NA;3,13549423217773;14,7318010330200;2,3025851249694824;0,0000000000000000;NA;0;NA;0;0,13976192474365234;0,08338165283203125;10,04324913024902;0,13976192474365234;0;0,00000000000000000;0,00000000000000000
1989;410547;25;3000000;25000;NA;10,00000000000000000;48;0;0;1;0;1;1,9199999570846558;NA;3,21887588500977;14,9141225814819;2,3025851249694824;1,0715836286544800;NA;0;NA;0;0,08338165283203125;0,18232154846191406;10,12663078308105;0,08338165283203125;0;1,91999995708465576;1,07158362865447998
1987;410556;NA;NA;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
1988;410556;NA;NA;NA;NA;NA;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA
1989;410556;131;7588770;16640;NA;NA;0;0;0;1;0;0;0,0000000000000000;NA;4,87519741058350;15,8421802520752;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,71956443786621;NA;0;NA;NA
1987;410560;22;725000;9000;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;3,09104251861572;13,4939270019531;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,10497951507568;NA;NA;NA;NA
1988;410560;25;785000;9000;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;3,21887588500977;13,5734386444092;NA;0,0000000000000000;NA;0;NA;0;0,12783336639404297;0,07951164245605469;9,10497951507568;0,00000000000000000;0;0,00000000000000000;0,00000000000000000
1989;410560;23;785000;10000;NA;NA;0;0;0;1;0;0;0,0000000000000000;NA;3,13549423217773;13,5734386444092;NA;0,0000000000000000;NA;0;NA;0;-0,08338165283203125;0,00000000000000000;9,21034049987793;0,10536098480224609;0;0,00000000000000000;0,00000000000000000
1987;410561;6;501859;NA;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;1,79175949096680;13,1260747909546;NA;0,0000000000000000;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
1988;410561;6;580415;NA;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;1,79175949096680;13,2714986801147;NA;0,0000000000000000;NA;0;NA;0;0,00000000000000000;0,14542388916015625;NA;NA;0;0,00000000000000000;0,00000000000000000
1989;410561;9;735442;NA;NA;NA;64;0;0;1;0;1;7,1111111640930176;NA;2,19722461700439;13,5082273483276;NA;2,0932347774505615;NA;0;NA;0;0,40546512603759766;0,23672866821289062;NA;NA;0;7,11111116409301758;2,09323477745056152
1987;410562;15;4000000;32000;NA;NA;10;0;0;0;0;2;1,3333333730697632;NA;2,70805025100708;15,2018051147461;NA;0,8472979068756104;NA;0;NA;0;NA;NA;10,37349128723145;NA;NA;NA;NA
1988;410562;18;5000000;34000;NA;NA;10;0;0;0;1;2;1,1111111640930176;NA;2,89037179946899;15,4249486923218;NA;0,7472144365310669;NA;0;NA;0;0,18232154846191406;0,22314357757568359;10,43411540985107;0,06062412261962891;0;-0,22222220897674561;-0,10008347034454346
1989;410562;19;7000000;38000;NA;NA;25;0;0;1;0;6;7,8947367668151855;NA;2,94443893432617;15,7614202499390;NA;2,1854596138000488;NA;0;NA;0;0,05406713485717773;0,33647155761718750;10,54534149169922;0,11122608184814453;0;6,78362560272216797;1,43824517726898193
1987;410563;73;5300000;21500;6,00000000000000000;NA;0;1;0;0;0;0;0,0000000000000000;1,7917594909667969;4,29045963287354;15,4832172393799;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,97580814361572;NA;NA;NA;NA
1988;410563;76;5800000;22200;7,00000000000000000;NA;0;1;0;0;1;0;0,0000000000000000;1,9459100961685181;4,33073329925537;15,5733680725098;NA;0,0000000000000000;1,7917594909667969;0;0,1541506052017212;0;0,04027366638183594;0,09015083312988281;10,00784778594971;0,03203964233398438;0;0,00000000000000000;0,00000000000000000
1989;410563;80;6400000;23000;5,00000000000000000;NA;50;1;0;1;0;8;5,0000000000000000;1,6094379425048828;4,38202667236328;15,6718082427979;NA;1,7917594909667969;1,9459100961685181;0;-0,3364721536636353;0;0,05129337310791016;0,09844017028808594;10,04324913024902;0,03540134429931641;0;5,00000000000000000;1,79175949096679688
1987;410564;160;NA;20000;NA;4,30000019073486328;20;0;0;0;0;15;1,8750000000000000;NA;5,07517385482788;NA;1,4586150646209717;1,0560526847839355;NA;0;NA;0;NA;NA;9,90348720550537;NA;NA;NA;NA
1988;410564;150;NA;21000;NA;4,09999990463256836;20;0;0;0;1;20;2,6666667461395264;NA;5,01063537597656;NA;1,4109869003295898;1,2992830276489258;NA;0;NA;0;-0,06453847885131836;NA;9,95227813720703;0,04879093170166016;0;0,79166674613952637;0,24323034286499023
1989;410564;150;NA;22000;NA;4,00000000000000000;25;0;0;1;0;35;5,8333334922790527;NA;5,01063537597656;NA;1,3862943649291992;1,9218126535415649;NA;0;NA;0;0,00000000000000000;NA;9,99879741668701;0,04651927947998047;0;3,16666674613952637;0,62252962589263916
1987;410565;90;NA;20620;21,00000000000000000;NA;0;1;0;0;0;0;0,0000000000000000;3,0445225238800049;4,49980974197388;NA;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,93401718139648;NA;NA;NA;NA
1988;410565;112;21780000;20180;11,00000000000000000;NA;0;1;0;0;1;0;0,0000000000000000;2,3978953361511230;4,71849870681763;16,8965034484863;NA;0,0000000000000000;3,0445225238800049;0;-0,6466271877288818;0;0,21868896484375000;NA;9,91244697570801;-0,02157020568847656;0;0,00000000000000000;0,00000000000000000
1989;410565;128;25829000;21500;0,40000000596046448;NA;16;1;0;1;0;128;16,0000000000000000;-0,9162907004356384;4,85203027725220;17,0670089721680;NA;2,8332133293151855;2,3978953361511230;0;-3,3141860961914062;0;0,13353157043457031;0,17050552368164062;9,97580814361572;0,06336116790771484;0;16,00000000000000000;2,83321332931518555
1987;410566;14;2101581;14850;7,00000000000000000;NA;8;0;0;0;0;12;6,8571429252624512;1,9459100961685181;2,63905739784241;14,5582008361816;NA;2,0614230632781982;NA;0;NA;0;NA;NA;9,60575485229492;NA;NA;NA;NA
1988;410566;16;2400723;18100;5,00000000000000000;NA;3;0;0;0;1;10;1,8750000000000000;1,6094379425048828;2,77258872985840;14,6912803649902;NA;1,0560526847839355;1,9459100961685181;0;-0,3364721536636353;0;0,13353133201599121;0,13307952880859375;9,80366706848145;0,19791221618652344;0;-4,98214292526245117;-1,00537037849426270
1989;410566;13;2470633;20500;4,50000000000000000;NA;4;0;0;1;0;10;3,0769231319427490;1,5040774345397949;2,56494927406311;14,7199850082397;NA;1,4053425788879395;1,6094379425048828;0;-0,1053605079650879;0;-0,20763945579528809;0,02870464324951172;9,92817974090576;0,12451267242431641;0;1,20192313194274902;0,34928989410400391
1987;410567;40;3000000;10000;1,00000000000000000;0,50000000000000000;0;0;0;0;0;0;0,0000000000000000;0,0000000000000000;3,68887948989868;14,9141225814819;-0,6931471824645996;0,0000000000000000;NA;0;NA;0;NA;NA;9,21034049987793;NA;NA;NA;NA
1988;410567;48;3800000;11000;0,50000000000000000;0,25000000000000000;0;0;0;0;1;0;0,0000000000000000;-0,6931471824645996;3,87120103836060;15,1505117416382;-1,3862943649291992;0,0000000000000000;0,0000000000000000;0;-0,6931471824645996;0;0,18232154846191406;0,23638916015625000;9,30565071105957;0,09531021118164062;0;0,00000000000000000;0,00000000000000000
1989;410567;50;3100000;11500;0,28000000119209290;0,12999999523162842;16;0;0;1;0;50;16,0000000000000000;-1,2729656696319580;3,91202306747437;14,9469127655029;-2,0402209758758545;2,8332133293151855;-0,6931471824645996;0;-0,5798184871673584;0;0,04082202911376953;-0,20359897613525391;9,35010242462158;0,04445171356201172;0;16,00000000000000000;2,83321332931518555
1987;410569;20;NA;26000;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;2,99573230743408;NA;NA;0,0000000000000000;NA;0;NA;0;NA;NA;10,16585159301758;NA;NA;NA;NA
1988;410569;24;NA;28000;NA;NA;0;0;0;0;1;0;0,0000000000000000;NA;3,17805385589600;NA;NA;0,0000000000000000;NA;0;NA;0;0,18232154846191406;NA;10,23995971679688;0,07410812377929688;0;0,00000000000000000;0,00000000000000000
1989;410569;30;NA;30000;NA;NA;0;0;0;1;0;0;0,0000000000000000;NA;3,40119743347168;NA;NA;0,0000000000000000;NA;0;NA;0;0,22314357757568359;NA;10,30895233154297;0,06899261474609375;0;0,00000000000000000;0,00000000000000000
1987;410571;17;755050;10400;NA;0,00999999977648258;25;0;0;0;0;17;25,0000000000000000;NA;2,83321332931519;13,5345392227173;-4,6051702499389648;3,2580964565277100;NA;0;NA;0;NA;NA;9,24956130981445;NA;NA;NA;NA
1988;410571;15;1102723;10400;NA;0,00999999977648258;25;0;0;0;1;15;25,0000000000000000;NA;2,70805025100708;13,9132928848267;-4,6051702499389648;3,2580964565277100;NA;0;NA;0;-0,12516307830810547;0,37875366210937500;9,24956130981445;0,00000000000000000;0;0,00000000000000000;0,00000000000000000
1989;410571;20;1073785;10400;NA;0,00999999977648258;25;0;0;1;0;10;12,5000000000000000;NA;2,99573230743408;13,8867006301880;-4,6051702499389648;2,6026897430419922;NA;0;NA;0;0,28768205642700195;-0,02659225463867188;9,24956130981445;0,00000000000000000;0;-12,50000000000000000;-0,65540671348571777
1987;410577;75;4750000;16120;1,67999994754791260;1,88999998569488525;3;0;0;0;0;30;1,2000000476837158;0,5187937617301941;4,31748819351196;15,3736553192139;0,6365768313407898;0,7884573936462402;NA;0;NA;0;NA;NA;9,68781566619873;NA;NA;NA;NA
1988;410577;80;5100000;16432;1,57000005245208740;1,75999999046325684;4;0;0;0;1;35;1,7500000000000000;0,4510756433010101;4,38202667236328;15,4447507858276;0,5653138160705566;1,0116009712219238;0,5187937617301941;0;-0,0677181184291840;0;0,06453847885131836;0,07109546661376953;9,70698547363281;0,01916980743408203;0;0,54999995231628418;0,22314357757568359
1989;410577;94;5500000;16640;1,63999998569488525;1,82000005245208740;4;0;0;1;0;35;1,4893616437911987;0,4946962296962738;4,54329490661621;15,5202589035034;0,5988365411758423;0,9120262861251831;0,4510756433010101;0;0,0436205863952637;0;0,16126823425292969;0,07550811767578125;9,71956443786621;0,01257896423339844;0;-0,26063835620880127;-0,09957468509674072
1987;410586;116;11000000;23500;NA;NA;47;0;0;0;0;96;38,8965530395507812;NA;4,75359010696411;16,2134056091309;NA;3,6862900257110596;NA;0;NA;0;NA;NA;10,06475543975830;NA;NA;NA;NA
1988;410586;114;11000000;24000;NA;NA;47;0;0;0;1;94;38,7543869018554688;NA;4,73619842529297;16,2134056091309;NA;3,6827201843261719;NA;0;NA;0;-0,01739168167114258;0,00000000000000000;10,08580875396729;0,02105331420898438;0;-0,14216613769531250;-0,00356984138488770
1989;410586;119;11000000;24600;NA;NA;47;0;0;1;0;99;39,1008415222167969;NA;4,77912330627441;16,2134056091309;NA;3,6913974285125732;NA;0;NA;0;0,04292488098144531;0,00000000000000000;10,11050128936768;0,02469253540039062;0;0,34645462036132812;0,00867724418640137
1987;410591;25;NA;12180;NA;NA;0;0;0;0;0;0;0,0000000000000000;NA;3,21887588500977;NA;NA;0,0000000000000000;NA;0;NA;0;NA;NA;9,40755081176758;NA;NA;NA;NA
1988;410591;33;NA;13000;NA;NA;50;0;0;0;1;1;1,5151515007019043;NA;3,49650764465332;NA;NA;0,9223330616950989;NA;0;NA;0;0,27763175964355469;NA;9,47270488739014;0,06515407562255859;0;1,51515150070190430;0,92233306169509888
1989;410591;37;NA;14500;NA;NA;40;0;0;1;0;2;2,1621620655059814;NA;3,61091780662537;NA;NA;1,1512559652328491;NA;0;NA;0;0,11441016197204590;NA;9,58190345764160;0,10919857025146484;0;0,64701056480407715;0,22892290353775024
1987;410592;20;NA;NA;30,00000000000000000;40,00000000000000000;NA;0;0;0;0;20;NA;3,4011974334716797;2,99573230743408;NA;3,6888794898986816;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
